# Frequency of Words Appearing in 4 Years of the Mainichi Newspaper.
# This file was produced by Charles Kelly (September 24-26, 2003)
# http://aitech.ac.jp/~ckelly/
#
# This file recalculates the word frequency counts in
# Alexandre Girardi's "wordfreq" file. (1998)
#
# This is what I did.
# The counts for the various forms of the same word were merged.
# Certain words/items were removed: numbers, English and romaji,
# punctuation, phrases ending in the particle "wo", lines beginning with
# "n" or the particle "wo."
# Then the file was sorted by "the count."
#
# The most fequently used word was used 3,711,420 times.
#    592 words were used more than 10,000 times.
#  5,039 words were used more than 1,000 times.
#  7,654 words were used more than 500 times.
# 19,602 words were used more than 100 times.
# 26,813 words were used more than 50 times.
# 38,389 words were used more than 20 times.
#
# The data contains 142,298 lines in the following format.
# The Word + TAB + The Count

観光	4736
自	4729
派閥	4719
申請	4718
あの	4711
抱える	4708
本人	4708
暫定	4707
指定	4703
招く	4687
集団	4680
加わる	4668
よく	4667
勉強	4657
官房長官	4654
名誉	4646
表情	4643
コンピューター	4636
南北	4634
アップ	4631
大型	4630
設ける	4629
主要	4626
彼	4623
審査	4617
なし	4617
エネルギー	4615
不明	4615
朝鮮	4614
部屋	4610
言える	4608
総務	4601
韓	4600
さえ	4594
総長	4583
冷戦	4581
週間	4581
村山	4580
行方	4578
くらい	4571
フィリピン	4562
観測	4559
年齢	4557
混乱	4552
解散	4551
限る	4550
少年	4548
主婦	4544
葉	4538
国立	4533
奪う	4530
当面	4528
能力	4523
編集	4523
劇場	4519
試験	4514
なくなる	4509
同様	4504
確実	4503
秘書	4499
追う	4496
会う	4494
無	4490
うまい	4486
にくい	4484
指示	4482
歩く	4481
許す	4480
ずつ	4477
早期	4472
達す	4471
イラン	4470
銭	4466
困難	4458
静岡	4456
継続	4456
専門	4455
競技	4453
何か	4452
ひとつ	4450
閣議	4448
終える	4444
人民	4442
母親	4436
設定	4433
法律	4433
データ	4432
輸送	4431
公表	4427
実態	4422
二つ	4417
税制	4412
自治	4396
もちろん	4392
なんて	4387
与野党	4385
ドラマ	4384
宇宙	4382
園	4381
安全保障	4381
促進	4379
文書	4376
警視庁	4375
なお	4373
料理	4371
破壊	4368
丸	4360
議席	4355
厚生省	4348
運転	4347
身	4345
報告書	4343
川崎	4340
における	4337
中止	4332
政	4329
枠	4326
廃止	4326
完成	4324
水準	4312
ゲーム	4309
項目	4305
起訴	4302
種類	4302
流れる	4301
やはり	4298
県警	4294
機会	4294
同盟	4291
喚問	4290
自信	4285
以前	4277
三	4275
配慮	4260
支える	4255
出演	4248
規定	4245
製	4244
柱	4242
料金	4240
道路	4239
通貨	4238
途中	4237
ところが	4233
選択	4231
約束	4223
喜	4223
悪化	4216
優先	4211
レース	4209
やめる	4206
戦闘	4198
極めて	4197
見解	4196
武器	4192
実績	4190
達成	4190
以内	4182
精神	4181
裏	4181
離れる	4179
歓迎	4178
教える	4178
双方	4177
支配	4176
本塁打	4169
意欲	4168
スーパー	4161
見つかる	4159
常務	4157
同国	4156
娘	4152
ポスト	4145
失敗	4145
売る	4143
採択	4137
疑問	4137
世	4134
話題	4131
生かす	4131
設備	4125
感染	4123
基金	4123
渋谷	4110
特徴	4108
洋	4104
長野	4102
共通	4102
カネ	4092
消費税	4087
彼女	4086
わが国	4083
ぐらい	4080
需要	4074
深刻	4073
公演	4064
逆転	4059
演出	4058
石井	4052
忘れる	4044
開幕	4041
供給	4039
編成	4033
有力	4031
徹底	4022
資産	4018
全日	4018
絵	4016
触れる	4012
日中	4012
指名	4010
天皇	4010
公式	4007
望む	3999
有効	3998
話し合う	3995
調印	3993
雨	3992
工業	3991
前半	3980
統合	3977
みんな	3977
学ぶ	3972
成果	3969
夕	3968
作戦	3967
上る	3965
陣	3964
る	3961
実行	3953
中間	3952
あいさつ	3951
結論	3947
掲げる	3942
及び	3942
例えば	3940
このほど	3939
今日	3938
制限	3937
平方メートル	3934
民社党	3933
同省	3932
対話	3931
医学	3928
今吉	3928
そういう	3924
課長	3922
二十日	3921
のみ	3913
屋	3912
超	3911
解放	3909
就職	3901
呼びかける	3901
メダル	3891
反映	3890
沖縄	3888
信頼	3888
衛星	3885
北方	3876
受験	3871
落ちる	3870
決着	3868
芸術	3866
撮影	3861
強める	3861
自己	3852
定数	3849
証人	3838
壁	3838
子ども	3837
意思	3835
原子力	3832
全面	3827
大事	3825
彼ら	3823
ミサイル	3822
友人	3818
通産省	3818
ビデオ	3817
コース	3817
警戒	3815
労働者	3811
副社長	3810
豊か	3808
田辺	3803
最低	3801
人生	3798
半分	3798
追加	3795
決断	3787
表	3787
費用	3780
確か	3778
固める	3775
教師	3774
東北	3772
日本語	3771
態度	3768
広	3767
インド	3765
安い	3762
卒	3760
武装	3757
自治体	3756
権利	3749
対抗	3749
にかけて	3749
若手	3748
分ける	3743
ちょっと	3738
党首	3736
いろいろ	3735
起こる	3735
解消	3730
夫人	3730
内部	3728
いつも	3723
直前	3722
広げる	3721
及ぶ	3721
病気	3720
出発	3720
門	3719
募集	3718
東海	3718
新人	3717
清	3716
掲載	3713
収入	3709
座	3709
つもり	3708
大国	3704
運ぶ	3702
胸	3700
遅れる	3699
合同	3698
小さな	3698
サッカー	3695
広告	3695
無料	3694
低迷	3692
文学	3691
作成	3691
露	3688
相互	3684
雑誌	3683
メキシコ	3681
考え方	3680
繰り返す	3679
所得	3679
法人	3678
本会議	3675
懇談	3669
恵	3668
西武	3666
宗教	3664
消える	3663
茨城	3659
国会議員	3658
専務	3655
答申	3655
地検	3654
年金	3654
どの	3651
停戦	3650
英語	3646
登録	3644
西側	3640
感じ	3638
順	3637
浩	3635
入院	3632
民主党	3631
両党	3630
緊張	3630
さま	3628
楽しむ	3625
当たる	3624
ちゃん	3618
そのもの	3618
集会	3618
南部	3614
簡単	3612
康	3611
ニュース	3608
シリーズ	3608
橋本	3606
老人	3602
専門家	3602
